customerid,creditscore,geography,gender,age,tenure,balance,numofproducts,hascreditcard,isactivemember,estimatedsalary,churn
3592259,609,Netherlands,Male,26,4,109166.37,1,1,1,93481.75,0
3720717,734,Belgium,Male,42,7,0,1,0,1,109031.26,1
3603014,692,Belgium,Male,25,7,0,2,1,0,102570.65,0
3617199,485,Belgium,Male,22,2,0,2,1,0,28446.881,0
3606713,802,Belgium,Male,24,7,98148.609,1,1,0,27611.391,0
3611703,524,Luxembourg,Female,31,5,174853.45,1,1,0,84657.289,0
3742873,685,Belgium,Male,35,6,0,2,1,1,59254.078,0
3622994,722,Belgium,Male,38,6,149238.97,1,1,1,98021.508,0
3813648,750,Belgium,Male,52,7,0,1,1,1,14794.01,0
3735434,626,Belgium,Female,53,2,121389.78,1,1,1,48259.988,1
3759042,707,Netherlands,Male,44,8,95368.141,2,1,1,1923.5699,0
3791014,614,Netherlands,Male,43,8,133379.41,1,1,0,178030.59,1
3761561,861,Belgium,Male,33,8,164385.53,1,1,0,151350.36,0
3585177,778,Belgium,Male,39,2,111525.02,1,1,0,200006.94,0
3813669,708,Belgium,Male,47,2,0,2,1,0,151637.06,0
3713878,636,Netherlands,Female,40,2,97001.359,2,1,0,154800.48,0
3774494,714,Netherlands,Female,75,1,106307.91,2,0,1,113689.17,0
3733764,530,Netherlands,Female,55,4,125292.53,1,1,1,31717.32,1
3745231,733,Netherlands,Female,30,2,205770.78,2,0,0,65472.199,0
3675954,593,Belgium,Female,32,4,85615.656,2,1,0,156805.19,0
3779926,735,Belgium,Male,33,3,144427.95,2,1,0,114452.42,0
3662966,741,Belgium,Male,35,8,110934.54,1,1,0,169477.25,0
3584343,532,Belgium,Female,40,5,0,2,0,1,177567.03,0
3706350,555,Belgium,Male,36,7,85311.703,1,0,1,157109.23,0
3668046,535,Netherlands,Female,62,7,133201.17,1,0,0,169234.67,1
3611841,471,Belgium,Male,36,7,90145.039,1,1,1,69484.656,0
3715212,723,Belgium,Female,38,6,102895.1,1,0,0,156133.7,0
3723682,804,Luxembourg,Male,40,3,0,2,0,0,96496.344,0
3812154,757,Netherlands,Female,40,6,89175.063,2,0,1,153628.44,0
3775288,692,Belgium,Female,38,5,110570.78,2,1,0,195984.95,0
3780448,667,Belgium,Male,40,9,0,1,1,1,97440.078,0
3811805,747,Luxembourg,Male,25,6,0,2,1,1,78805.344,0
3743288,814,Netherlands,Female,56,9,94348.938,1,1,0,29957.6,1
3698272,649,Netherlands,Female,54,1,131039.97,2,1,1,200267.5,0
3798196,861,Belgium,Female,36,4,135438.41,1,0,0,191328.77,0
3675158,478,Belgium,Male,33,8,0,1,1,1,14205.03,0
3588335,682,Luxembourg,Female,41,9,109013.23,1,1,0,197137.78,0
3698751,710,Luxembourg,Male,36,1,0,3,1,1,74227.203,1
3654531,813,Netherlands,Male,57,3,117056.46,1,1,0,93340.523,1
3723456,772,Luxembourg,Female,30,6,0,2,1,0,152499.41,0
3665961,756,Belgium,Male,43,1,100421.1,1,1,1,101144.48,0
3706936,701,Luxembourg,Male,39,5,0,2,1,1,100610.54,0
3701078,625,Belgium,Male,24,3,0,1,0,1,78527.063,1
3652908,751,Belgium,Male,42,8,133767.19,1,1,0,37113.379,0
3800049,621,Netherlands,Female,26,10,72835.563,2,1,0,97436.75,0
3760841,657,Netherlands,Female,38,6,86569.758,2,1,0,98296.609,0
3717793,893,Belgium,Male,27,0,0,2,0,1,158239.91,0
