"ReviewContent","ReviewDate"
"So I've stayed at this hotel one time with my girls for a birthday celebration. The rooms were clean and the views are beautiful but the lobby is the most breathe taking view in this building. Walking into the lobby feels like an indoor oasis, greenery and shrubbery every where, wooden logs piled up in a designated area, the main look of this hotel is upscale cabin chic. My main reason for always coming back is the lobby area, I use it as my workspace, meeting space, grabbing coffee with the girls or just bringing my family here for some quiet time, the security and front desk workers are always polite, even the crowd you run into here in this workspace are laid back and low key. If you're staying or just using the space you can grab a bite and neighbor coffee shop right on the first floor, they have an assortment of food and drinks, my go to are the lattes, smoothies and Avocado toast. The lobby lounge where you can grab Lucy and an early dinner, then you have the osprey am upscale farm to table restaurant and the food is always great (reservations are required). There's also a roof top Bar that you can listen to great music while you check out the view of the east river and the city skylines.","10/3/2022"
"I've stayed here twice this year, once in July 2022 and again in September 2022 and both stays were wonderful. I was a little worried at first seeing the reviews on Yelp which are much more critical than on Trip Advisor, but truly, we did not experience anything other than the most hospitable and accommodating service. The views here are amazing. The hotel is right alongside Brooklyn Bridge Park and you can easily walk to all of the piers. And of course, the view of the Brooklyn Bridge is just phenomenal, from the rooms, the rooftop bar, and from walking just a few feet from the hotel. I was able to stay in the Bridge View rooms on the 10th floor and they were amazing! Those rooms, however, are the ones with the clear shower doors, so just a heads up if you're staying with someone you wouldn't feel THAT comfy with. Everyone working here was incredibly friendly and helpful. And valet was very easy and quick for us. During my first stay here, my fiance actually was planning his proposal, and the front desk team not only helped him find a location outside but worked with him to find an even better room for us (which got us to the 10th floor). And because of this, I ended up bringing my Mom here to visit. During this 2nd time, I had actually booked a huge suite thinking another family member was staying with us, and it had been a pay-now/non-refundable room. I was so upset when the family member could no longer go with us, but the reservations folks and the front desk allowed me to downgrade my room and gave me a refund after a few short emails back and forth. The hotel is a little hippy dippy and they focus on recycle and reuse. The metal decor can be a little rusty but apart from this the rooms were clean and comfortable. We thought the food at the Osprey was decent (the parmesan fries are amazing though) but would definitely recommend going into Brooklyn or the city for good cuisine. Some places right near the hotel were great as well like % Arabica and Butler for coffee and pastries, La Bagel Delight a little further out had excellent bagels, and the Brooklyn Ice Cream Factory had awesome ice cream.","9/24/2022"
"If you want to be cheated and treated like garbage,I recommend 1Hotel Brooklyn bridge. This is how our story begins. We live in New York and we planned to celebrate our anniversary in a hotel with a view and pool. The only thing we needed was a nice view and a rest at the pool. We arrived at the hotel at 4:30pm (check in at 4pm) and we were informed that our room was not ready and to come back in half an hour. We waited in front of the hotel for half an hour and after that we finally got to the room we paid for one night. ($890 at the end $1377.67 included just 2 warm drinks, a glass of beer and a mimosa cocktail at the pool the next day). The only person who welcomed us for the whole time at the hotel and wasn't rude was the guy at the front desk. After we left our stuff in the room, we wanted to spend an hour and a half at the pool, which was supposed to be open until 7pm. We arrived at the pool at 5:20pm, the weather was beautiful and one of the employees ( a very rude girl ) told us that the pool was closed because of ""potential rain"" and with the sarcastic words ""safety first"", she turned and left.  What does it mean? Has anyone taught employees to welcome guests or they just know how to say ''safety first'' and don't know what the context is? Since it was hot, we went to the room to wait for the night to enjoy the rooftop. We went to the rooftop as hotel guests at 9:30pm. We sat at a table that was free and after 5 minutes an employee girl ( extremely rude ) came without any question but said that we had to get up because people were waiting to sit at the table. We said that we are guests of the hotel, that we are celebrating our anniversary and politely asked if we could sit anywhere and enjoy ourselves. She said that all tables are reserved and we could just walk around. We found a place to stand, but after half an hour the same rude girl came back to us to tell us there was a group of people who wanted to stand in that place and that we should move 6ft away from them. I need to point out that we were under constant pressure which did not stop during our stay in the hotel. When people started to leave the rooftop at 11:45pm, we sat down at a table to finally take a selfie for our anniversary. There was a lamp on the table that gave light and immediately an employee came to us who moved our phone, took the lamp, told us that the rooftop is closed and we need to leave. We stood up without saying a word and at that moment I saw a man with a beard who I assume is the manager and told him we are the hotel guests who celebrate our anniversary and how the employees are treating us. He had no comment other than ""sorry"".  After that, we went down to the 10th floor to the hotel bar and finally sat down at a table. After that, a manager with a beard appeared with a coworker and told us to go back to the rooftop to take a photo for our anniversary. Thanks but after the whole night of pressure from the horrible employees, we wanted to finally be at the table and spend some time without pressure. The next morning we went to the pool to finally see the pool and enjoy the view. At the entrance was the hostess who just watched us without any welcome and asked if we were guests of the hotel. She saw that we had hotel slippers and towels.  She cheekily said that we can only spend 2 hours at the pool.  We ordered 2 drinks for which we waited 30 minutes. After 30min I decide to ask pool stuff what's going on with our drinks, than be surprised by a group of 4 employees from the pool ( hostess, two guys and one girl ) who jokingly commented on the appearance of the girl who was in the wedding hall with the friends that she is ""ugly and fat"".   After that, a warm beer and a hot cocktail arrived.  The story does not end there. We went to our room after spending two hours at the pool and fell asleep. I will point out that the window in the room is terribly dirty and you cannot enjoy the view shown on the website. I received a call at 1:30 that a late check out of $250 was applied and that we had to leave the hotel immediately. They applied 10 times taxes witch you can see on the photo I posted with this review. After 20 minutes we left the hotel and I will remember this hotel as the worst experience I had in New York.  Along with the worst experience, you can see the bill I paid for the worst night ever in New York. As a positive side, I will praise the guy at the front desk and the staff at the bar on the 10th floor. We did not feel pressure at that bar. Summary: - Room - very dirty window, scratches furniture. - Rooftop - Warm drinks ( minimum 15$ ) , horrible service, rude and unprofessional employees. - Pool - Rude and unprofessional employees, horrible service. - Front Desk - Only staff members who will maybe welcome you. - Bar 10th floor - Good","8/28/2022"
"Right off the Brooklyn bridge park, this hotel is a delight. The lobby is beautiful and luxurious. There is a coffee shop that serves some good coffee and some finger food. The spa is one level below the lobby. Location is just perfect for anyone looking for some R&R","12/19/2022"
"Things started out poorly at check-in. Chaotic, valet took our bags and forgot our extra coats, I grabbed them and walked into the lobby to put them on the cart. A short female desk clerk, spotted me from behind the desk and yelled across the lobby, say 30-40 feet: ""Stay back! I cannot help you until I help this guest."" She pointed to a guy across the lobby fishing through a diaper bag for something. She then pointed to a spot on the floor and said"" You wait here"". Unbelievable, no ""Welcome to the hotel""..""Good to see you""... ""Thanks for coming""..just rude. I wasn't happy with this hotel choice to begin with and left it to my wife to finish check in. Decor: it's like the This End Up, furniture company from the 90's, was commissioned for this effort. Room lighting: the dimmest I've ever experienced. We had to use our cell phone lights to navigate the room at night. Location: fantastic.","12/23/2022"
"We ended up very disappointed with our stay. I notified the property manager and got an apology email but this was unacceptable and I wouldn't recommend spending the money. Please see the attached photos of our disgusting mattress cover and just a sample of the dirt we found in the room. I also notified them that our balcony door was coming off the tracking and difficult to open and close. To top things off, we realized that my daughter left a pair of shoes in the room, and when we went back to retrieve them, we were met with a very unhappy front desk person who added to the poor experience and service. The property is beautiful and in a great location, so If you are ok with spending the money despite the lack of detail or care, it may be worth it. Just take your own linen.","6/30/2022"
"This is a nice hotel . However the beds are super small. I stayed there for a night and I had to leave because it was a best friends trip and the rooms are super tight . It's great if it is only 1 person. Full size beds are a bust. The front desk staff were kind and polite .","12/3/2022"
"I would honestly rate this higher if I could. The location is amazing nestled walking distance to the Brooklyn bridge. So many restaurants that you can walk right over to. The interior of this hotel is amazing. Its the perfect mix of bringing outdoors indoors. The views from every angle of this hotel are amazing!. Super pleased with the front desk staff that assisted during our stay - unfortunately a door broke in the bathroom and they were so quick to provide a solution which the outcome was one night stay for free in a suite. Looking forward to staying again in the near future. If you book here make sure you head to the rooftop for a drink around sunset I promise you won't regret it.","1/6/2022"
"Let me start by saying that this is an absolutely beautiful hotel.  From the cozy lobby, to the scenic rooftop, to the bar with the terrific views, to the stunning modern rooms.  The pictures don't do it justice. So why 1 star then? The reason is that all night long I listened to the twang of elevator cables.  Probably due to the construction of the building (lots of concrete to make it look modern), i was constantly woken up all night long by this twang.  It wasn't super loud, but it was loud enough to be annoying and wake me multiple times.  I was in room 423.  I am telling you that in case you decide to stay there.  If you get this room immediately request a different room.  If you don't then pack ear plugs or your night will be ruined like mine was.  In the morning when i checked out, i told the staff that and their response was ""ok, we'll note a complaint"".  The room was $900 after taxes.  I would expect a little more than that.  Like maybe let me get a manager so you can discuss this with them or ""i'm so sorry to hear that"" or a variety of other responses.  But the person at the desk didn't seem to care and I had to run to catch my flight so I just left without making a fuss.  I suppose that was my mistake.  Lesson learned.","12/6/2021"
"The worst rooftop not worth the hype full of tourists overpriced drink that come in plastic glass and btw you pay 30% tip even if you don't want to it's already billed in your check. Nop not coming back","10/9/2022"
