"ReviewContent","ReviewStars","ReviewerInfo"
"","5.0 out of 5 stars","Reviewed in the United States on July 7, 2022"
"The Segway ES1L Escooter is my 2nd escooter, as I've previously purchased the HiBoy SL2 Pro, which I still have.  The two escooters are in different classes, as the Segway is more of an entry level. After reading many reviews on the Segway ES1L, I knew what to expect before I purchased it.  Still, I found myself wishing more was included with the escooter.  But having paid $299 for the ES1L, I am comfortable for what I got for the money.  Still, it would have been nice to have something as basic as a bell on the escooter. Pros: Design - This scooter was introduced a few years ago, but the design I feel is still modern, and even better the newer escooters costing much more. Weight - One of the reasons I purchased this escooter was I was looking for something easier to carry around than my HiBoy SL2 Pro.  And at about 25 pounds, the Segway ES1L is much lighter, and more comfortable to carry. Suspension - I was pleasantly surprised by how soft the ride was over small bumps, as the tires are not air-filled, and are relatively small.  There is a cheap sounding ""clunking"" noise that's made when the ES1L goes over some bumps...and it can get bouncy.  But it's not a harsh ride, and I prefer it over the HiBoy, even though the HiBoy has bigger 10 inch tires, and cost $215 more. Folding - One of the easier escooters to fold.  Simply step on the latch in the front, and the scooter folds.  You can hook the top half to the rear fender, making the scooter very easy to carry.  To open the scooter back up, just reverse those steps. Braking - The electronic brake felt pretty strong, and is easy to use. Cons: Speed - I knew before purchasing the escooter, the speed was limited to 12.4 mph (20 kph).  But still, I find myself wishing it was made to reach 15-16 mph.  My HiBoy goes 19-20mph. Range - Probably the most disappointing part of the escooter is the pitiful range.  For a scooter that only goes 12-13 mph, it would have been nice to be able to get more than the 12.4 miles per battery charge.  Real life range is most likely 7-9 miles. Safety features - Missing a tail lamp, and a bell is disappointing.  I understand wanting to keep costs down, but these two features would make riding more safe, and should not have been left out.  I mean, how much would it have added a bell...something tricycles come with? Neutral: Fun to ride - The ES1L is fun to ride, but the lack of speed makes it less enjoyable.  There is no cruise control, which would have made the ride, greater. Who is this scooter for? The Segway ES1L is perfect for those just starting out with electronic scooters, as it's not powerful, easy to carry, and easy to ride.  The ES1L is also perfect for someone looking for an escooter for short commutes. Who would not want this scooter? If you are looking for an escooter with fast speed and/or great mileage, look elsewhere.  This is a basic escooter, and is priced that way.  If you are looking for an escooter to ride on busy, or active city streets, I would pass on this, as it will not be able to keep up with traffic.  An exception would be if you live in a town with bike lanes, or if you are okay with not being able to keep up with traffic when riding your scooter. If there was an option to give 3.5 stars, I would have do so.  But because of the $299 price, as well as the other parts of this scooter I like, I give the Segway ES1L, 4 stars.  If this scooter was $350, or more, I would have given it 3 stars.","4.0 out of 5 stars","Reviewed in the United States on August 9, 2022"
"Hi, my name is Wytemi, Sheralyn's 25 year-old son. I will be reviewing this product. I highly recommend reading this in-depth review BEFORE considering buying this product. I have had the opportunity to really push the scooter to the limit the past 2 weeks. I am sad to say that this product boasts a misleading advertisement. I've separated my review into 7 categories and a final verdict at the bottom. SPEED : I am displeased that this bike can only go 12 miles per hour on flat land. If you are going down a hill, you can only cruise down at about 14 miles per hour. This is considered on the slow end of what most other E-Scooters offer; 15-20 is considered average across the market of E-Scooters. On an incline, this E-Scooter states in the advertising that it can handle a 7% incline. This is fine, but considering most places you will be going is at least sitting at a 10-15% incline. When riding the E-Scooter at any percent higher than 7%, the E-Scooter slows to a crawling 7 mph. Considering my standard walking distance is usually 4 mph, this was like the speed of a hoverboard, which defeats the purpose MOVEMENT: This bike has little to no inertia. If I were on any other scooter or bike and going down a hill, I could easily clock 20 MPH, but this bike isn't even capable of hitting 16 mph at any circumstance, even if you have the pedal pressed down (which is required to even hit speeds of 16 mph on a downward decline). If the battery were to die; which I did check, the bike because a slog to travel on. Its like the wheels have some resistance working against it unless the electric pedal is in use. BATTERY & DISTANCE: The battery dies FAST. The E-Scooter has a simple 5 bar battery display. Each bar represents 20% of battery, and a flashing bar represents 10% battery. On a usual cruise through the park I can watch the battery drop and its the most concerning thing about this E-Scooter. A normally 15 minute walk to my campus on less than 4% incline or so will take my battery down from 100% to around 70% in 15 minutes. I decided to put the E-Scooter to the biggest test. My sister lives about a 20 minute walk away from me, and the trip is a steady 10% all the way up. The E-Scooter was able to make the trip, at the cost of 40% of the battery in only 15 minutes. On the way back home, while it was a steady downward 10% incline, It still consumed an additional 16% to get home in 15 minutes. By the time I plugged the E-Scooter back in to the power supply, the battery was at 33%. The battery lost 66% in only 30 minutes. This bike advertises a max distance of 12 MPH, but in my tests and regular uses, this E-Scooter hasn't been capable of even hitting 5 mph. WEIGHT: At almost 25 lbs., this E-Scooter is very heavy and is a chore to take up even a short flight of stairs. I do appreciate and commend the option of folding the E-Scooter, however even with the folding mechanism, I find myself just breaking courtesy rules and cruising inside buildings as it is just so heavy to carry around. The weight limit on this E-Scooter is only 220 lbs. at maximum; I weigh about 190 on average. Anyone heavier, even by a pound, will make the E-Scooter crawl. To you romantics out there, I don't suggest taking a Significant Other as a ride partner on these. You would be better off renting a public scooter. PHYSICAL FEATURES: The folding mechanism, which is nice that this heavy E-Scooter offers, is still not enough to give benefit of the doubt. The folding mechanism is cheap and only held by a cheap piece of plastic, and I've noticed it comes unlatched on its own just by carrying it. Standing it up in a corner is a pain as there is no wheel locking mechanism. However, the latch mechanism which helps hold the E-Scooter up while in transit is very sturdy. You need not worry about the bike folding down on you in the middle of a ride. I will say that the wheels are surprising durable in comparison to the rest of the E-Scooter. While I have not tested it on ice in the winter, it performs very well in rain, over puddles, and over large cracks. The E-Scooter does very well in this field. The handles are made of a cheap foam that can tear easily. The brake and electric gas pedal are made of cheap plastic. The front Brake pedal is not a proper brake, but an electric brake. It will slow the E-Scooter down, but it fails miserable in terms of an emergency full stop. I have almost run into several stopped cars or pedestrians because I forget that's not what this pedal is for. The real emergency brake is at the rear wheel behind you, however it requires you to put all your weight on it to get a proper emergency stop. DIGITAL U.I.: The UI is disappointing. The display I received is is KMPH and not in MPH. The UI does have a proper number battery percentage, but it only shows when plugged in. I do not thing bars are a good representation of battery; this is a fad that should have died in the early 2000's. The flashlight icon is activated by pressing the power button once lightly, which is confusing and contradicting. There should have been a dedicated flashlight button. I will say the flashlight works quite well ay night and is quite bright. This E-Scooter could have benefited from a smartphone app connection to change settings, but the UI provided is permanent. So I will sadly be stuck reading and calculating KMPH to MPH when riding. PRICE: On the official Segway Ninebot website, the ES1L is priced at $379.99. Here on Amazon, which is where I bought it, is marked down at only $299.99. This price drop is welcoming considering all the downsides this E-Scooter has against it. While I have so many opinions against this E-Scooter, it is hard to not justify it's price tag of almost $300; not including shipping. When every other E-Scooter on the market with all these issues resolved on them, they are charged between $650 to $900. So the cheap price does make the lackluster features of this E-Scooter understandable. VERDICT: PROS: The price alone makes this a decent purchase if someone is looking for an E-Scooter for very short term commuting. While it's a pain, It does barely fit my needs and I can get where I need around my college town. The wheels are surprising durable and will not break down if you live in an area with tattered asphalt or harsh terrain. The flashlight is quite bright and you need not worry about being missed in the dark by an incoming car or late night runner. CONS: Everything else.","1.0 out of 5 stars","Reviewed in the United States on October 7, 2021"
"Wow - we love these... ordered one... then two... now our third - and all are still running well! Friends and family love taking turns with these! Like that they are green-energy, light enough to carry, that they have solid tires, and are definitely easier to hop on and off of than an E-bike. Break gives more control than a regular bike break, too. Feels much safer in shared bike/walking areas, if permitted there.","5.0 out of 5 stars","Reviewed in the United States on January 7, 2023"
"This is a nifty scooter. I used to pay to rent one in my town but it was so expensive for one use. This definitely is money better spent to own rather than rent. It’s sleek, not too heavy, folds, and charges easily.","5.0 out of 5 stars","Reviewed in the United States on January 16, 2023"
"Bought this rather on a whim, with an underlying legitimate reason. I was spending $40-$50 a week on Ubers just to get to work. With Amazon payments, 5 months of $60 seemed a lot cheaper. I've only had it a few days, but it's already gotten me to and from work, to the vape shop, and even a late night snack excursion. I have a blast on it, and was surprised how easy I took to it. I was more of a bicycle kid growing up, so scooting around at 50 was rather easy. Only cons would be range not really as advertised, and it really sucks on hills. That's not really an issue for me, as I can't vape and scoot, so little walking bits are fine. Bottom line for me: it's better than walking, fun and really easy to learn!","5.0 out of 5 stars","Reviewed in the United States on November 21, 2022"
"My teenagers got these for Christmas and they love it. It is well made, the batter appears to last a long while and the light is a beast. They'd like to go faster but for what they need it's perfect. Definitely recommend","4.0 out of 5 stars","Reviewed in the United States on December 27, 2022"
"Got this for my son for Christmas. He loves it. It’s built with quality, great on battery life. It has 3 modes. Standard speed, second speed, and 3rd speed which is the fastest at 12.5 mph. Assembly was also fast and easy. Literally plug in handle bars to the battery deck and tighten the screw with the tool provided.","5.0 out of 5 stars","Reviewed in the United States on December 27, 2022"
"I've been using this for about 10 miles and looks like the battery lasts 15% for every mile.  The hardware is pretty sturdy; I hit a few potholes by mistake and it is fine. No easy way to lock it.  It feels like it is faster than 12mph max speed.","4.0 out of 5 stars","Reviewed in the United States on December 19, 2022"
"Got it for my son for a Xmas gift it was perfect for him it only took us moments to set up and he was already ready to go just wish it wasn’t so cold out so he could have put it to some better use but all in all we where happy with it","5.0 out of 5 stars","Reviewed in the United States on December 27, 2022"
