movie,reviewContent,reviewDate,reviewStars,reviewHelpfulVote,reviewTotalVote
"Guillermo del Toro's Pinocchio","Guillermo Del Toro's Pinocchio is exactly that, a beautiful and unique interpretation of a classic that explores death and grief in ways that are often emotional and heartbreaking whilst still delivering a fun adventure with gorgeous animation against a classically disturbing Del Toro backdrop.

Gregory Mann gives an incredible lead performance, imbuing Pinocchio with a boundless warmth and naivety that thankfully never becomes annoying. Ewan McGregor makes for a terrific comic relief and is an absolute joy to hear whenever he's on screen.

David Bradley is so good as Geppetto, subtly bringing so much pain to his character that breaks your heart and makes his moments of happiness all the better to experience. Rounding out the cast is Christoph Waltz, on point as usual with another truly evil character.

Guillermo Del Toro's and Mark Gustafson's direction is absolutely phenomenal, everything from the movement of the characters, to their designs and the vibrant colour palette is gorgeous and endlessly watchable. The music by Alexandre Desplat is amazing, giving the film a perfect sense of whimsy for a fairytale.","13 December 2022",10,139,164
"Guillermo del Toro's Pinocchio","This film is NOT meant to have the light-hearted happy-go-lucky vibes of Disney's 1940 Pinocchio movie, but rather a modernised take praising the wonders of childhood, faith and friendship; up against the all-consuming tyranny of fascism (its take on Mussolini is hilarious), deceptive show-business tactics; and the double-edged sword of Time (and Life) itself.

Pinocchio is a conceptually HEAVY film that doesn't condescend on its younger audiences nor it's older ones: it respects all the age groups equally and without compromising the story and fairytale-qualities of the Pinocchio story at its core. It's like a hard-boiled folktale that knows when to be optimistic and when to be cautionary in equal measures; and that's the magic Guillermo Del Toro does so goddamn well in SPADES.

This is 2022's best animated feature film, and one of Netflix's best film offerings in years. And it was worth the wait on Del Toro's part too.

All in all, Pinocchio was WORTH IT; big time! And hella better than Disney's 2022 live-action turd too.

It's a 5/5 star experience.","2 December 2022",10,256,314
"Guillermo del Toro's Pinocchio","With less than 1/4 of the budget of the soulless Disney live action remake earlier this year, Del Toro & Co. Have managed to craft a version of Pinocchio with more personality, heart, and soul than Disney could have dreamed of crafting.

It injects new life into the character by telling a story that is vastly different both narratively and thematically than any version we've seen on screen before.

This tale deals with the malleability of identity, unconditional love, the impressionable nature of children, and the close link between joy and sorrow. And it does so with dark wit, refreshingly complex three-dimensional characters, and stunningly haunting stop-motion animation.

However, I do think this could have benefited a bit from cutting down on the plethora of plot points and having Pinocchio and Geppetto spend more time together. This version lacks the tight focus and brisk pacing of the 1940 version.

But aside from this, I was thoroughly entranced by this dark fairy tale. It has a spine and a soul, and unlike it's titular protagonist, it's far from wooden.","10 December 2022",8,78,89
"Guillermo del Toro's Pinocchio","In case you were wondering what was missing from an adaptation of Pinocchio: 1) more Fascist commentary (not to mention Tom Kenny voicing Mussollini); 2) Frankenstein allusions (or sorry did I say allusions I mean he's clearly so in love with ol' Frank that the imagery is just there in spades); 3) a showstopper Ewan McGregor musical number that hilariously keeps getting interrupted until the ending (you'll hear it at the Oscar's live I bet); 4) the word 'Burden' made existential and harrowing for a child of wood; and 5) and an even more gnarly designed sea beast. It also made me laugh and cry and lay back in awe in my theater - feel lucky if you get a chance to go see theatrical and don't pass it up if you can - at one of the great stop motion animations of my lifetime.

I'm sure there are little complaints or nitpicks I can have - ie as strong and believable and emotional an actor Gregory Mann is for the regular scenes, he's slightly one note as a singer for me. But they mostly pale in this giant work of a vision that is collaborative (Jim Henson productions Co produced and I'd love to know if any of this was puppeteers not just with the stop-motion 24fps), yet del Toro's voice and mind and vision is very potent and daring; that of creating a story of Disobedience in the face of the Big Paternal thing of a Fascistic leaders and so called fathers, and a fairy tale in an Iconoclastic approach (meaning as he said at a q&a it doesn't tell you to obey your parents so you'll be a good boy, it says you should be and think for yourself).

GDT's Pinocchio is a wonderful hot chocolate that deals with parental grief; why Gepetto creates Pinocchio is a prologue that makes this a film as much about him as the title character and what he has to learn. It's loaded with what we've come to love from Del Toro and his collaborators (Desplat especially), and I hope it reaches families all over the world. How young can you watch it? Uh... how young did you see the Disney one? Go a year younger!","3 December 2022",10,112,160
"Guillermo del Toro's Pinocchio","A new Guillermo Del Toro movie is always something worth getting excited about, and I think his take on Pinocchio is another winner. While it might not live up to his very best films, it's another strong addition to his filmography... though it's also worth mentioning that he co-directed this one. Mark Gustafson is the other director, and he's not going to get as much credit as Del Toro, being the lesser-known name. But I imagine you don't get credited as a co-director unless you do a good deal of the work, so he shouldn't go ignored.

It's easy to see why this take on the Pinocchio story was appealing to Del Toro. It's a fairly dark fairytale, it deals with child characters in a cruel world, it blends fantasy and real-world conflict (here, it's set in Italy I think either before or at the start of WW2), and it's also a story with big emotions, being heartfelt and also surprisingly sad in places. All these themes/directorial trademarks can be found in Del Toro's other films, which makes this one feel right at home among them (even if it's the first to be animated).

The animation looks unique and is great to look at throughout. Unlike other animated movies with unique looks, I didn't feel like this one took a while to get used to. It pulls you in right away, and I think the music helps a great deal, too. It's overall a nice-looking and nice-sounding movie, with pretty good voice-acting, too.

The fact that it deals with mature themes (surprising amounts of death and Fascism in this movie) and might look unsettling to some, while also having child-friendly comic relief and music numbers do make it feel a bit odd tonally. I appreciate the effort that went into making this a movie with elements that'll appeal to younger viewers, and elements that'll appeal to older viewers, but I'm not sure the variety of tones is always balanced expertly. If I had any criticism, it's that, but otherwise, this is a very good animated movie, and another triumph for Del Toro (and his co-director!).","28 November 2022",8,92,125
"Guillermo del Toro's Pinocchio","A father, haunted by the death of his young son, has his wish come true, when he carves a young boy out of a tree.

I must admit I raised an eyebrow when I heard that Guillermo del Toro was doing Pinocchio, having just enjoyed his cabinet of curiosities series, I wasn't sure how this would be, truth is, it's a glorious film, truly wonderful.

It's a kids film seen through the eyes of an adult, that's the only way I can explain it, mature themes are dealt with, done in a way that audiences young and old can appreciate.

It's funny, it's incredibly moving, and as you'd expect it's also a little dark at times. Finally a film that's number one on Netflix, that deserves to be.

I loved the way Geppetto is depicted, he really is a troubled man, even hitting the bottle hard, David Bradley does an awesome job, as do Ewan McGregor and Gregory Mann.

The visuals are terrific, it's a beautiful production, it's different to the norm, but it's so impressive, again I think it would appeal to viewers young and old.

Take my advice, save it for Christmas day, it's a magical experience, one deserving of the special day.

I was expecting to like it, I wasn't expecting to be enchanted by it, it's magical, 10/10.","14 December 2022",10,40,56
"Guillermo del Toro's Pinocchio","I really have very high expectation given the trailers and today I watched it and wow this is fantastic I love the visual and animation and the story telling. This is very mature in comparsion Disney 1940s animated version.

The stop motion is beautifully done and the songs is very nice to listen too I like this isn't insulting to older or young audience similar to the film Coraline which fits and this is 100x better than the live action remake Disney done just to cash in all the classic movies.

Overall, there is some issues but this doesn't take way the fact this movie is a masterpiece between amazing story, incredible animation and interesting characters and lovely songs I highly recommend this if you haven't seen it dont watch live action remake version watch this one.

10/10 perfect score.","9 December 2022",10,93,122
"Guillermo del Toro's Pinocchio","Hot on the heels of the Disney released Tom Hanks starring misfire that has found little fanfare around the world after its release on Disney+, Netflix's high profile and ambitious take on Carlo Collodi's beloved children's tale courtesy of the overseeing of Guillermo del Toro and his co-director Mark Gustafson is an artistic triumph that successful re-imagines the tale of a wooden boy and his creator/father in a way that brings new life and freshness to a story that unquestionably wasn't in need of yet another cinematic adaptation.

Transporting the fantastical adventure of Pinocchio (hear voiced by Gregory Mann) from the setting of 1800's Italy to pre-World War 2 Italy under the dictatorship of Benito Mussolini and his National Fascist Party, del Toro and Gustafson's tale is a lot more mature and adult-minded than we've seen most times previously in film versions of this tale but as is to be expected from anything with the Mexican artists touch, the film still manages to offer up whimsy, heart and laughter around all the more serious elements that are sure to affect adult viewers here even more than any little ones that give the film a go.

Currently the longest stop-motion feature film ever made, every frame of Pinocchio is a significant feat of artistry come to life and vision explored, with one left wondering how on earth the team behind this effort managed to pull off such exemplary feats of animation to birth this tale into existence and whether its colourful cities, mangy looking monkey sidekicks, rabbit filled underworlds or a belly of a giant sea beast there is no doubt every inch of this Netflix original is right up there with the best of 2022's feats of film-making, making this film as close to a shoe-in as possible for this years Best Animated Film Oscar.

While there is so much to enjoy in a visual and aesthetics point of view not everything else in del Toro and Gustafson's film works to the same high level with some of the films infrequent hit and mostly miss humour (a frequently explored joke of Ewan McGregor's mistreated Cricket grows wearisome), hammer over the head reminder that fascism is bad, Mann's slightly irritating voice work of Pinocchio and most tellingly a collection of songs that feel slightly underused and questionable in a sense that perhaps this film might have worked perfectly fine ditching the song and dance numbers all together, combine to stop Pinocchio from operating in other departments as highly and memorably as it does in a purely artistically viewed point of analysis.

Undoubtedly Pinocchio can be viewed as a success and head and shoulders above the other 2022 film of the same name but when it comes to what cinematic version of Collodi's tale still remains best, the 1940 Disney animation must still be regarded as the king.

Final Say -

An outstanding artistic achievement that fails to inspire the same level of magic and awe as its technical prowess elsewhere, Netflix's Pinocchio is a good film that could've been an all round masterpiece if other pieces had come together to reach the same levels of its artistry.

3 1/2 hot chocolates out of 5

Jordan and Eddie (The Movie Guys)","12 December 2022",7,26,37
"Guillermo del Toro's Pinocchio","To start with the most amazing stop action animation, then get to a story of substance, is what makes this one of a kind. Others have analyzed it in such detail. First of all, Gippeto is a tragic figure for most of the film, never coming to grips with the death of his son. He makes Pinocchio but drops into a drunken furor. The church turns out to be an adversary. The people who saw him as a veritable saint now turn their backs. We have the cricket living inside him which is an interesting twist but so appropriate. There are friendships, discoveries, and war to deal with. Also, the little wooden guy has immortality. But is that a gift when you outlive those whom you truly love? I thought this was a sensational film.","18 December 2022",10,25,38
"Guillermo del Toro's Pinocchio","Right from the get go there're some loop holes, and themes that seems a bit odd but then it grew on me. While my brain is processing and nitpicking the logic, my eyes and heart enjoys this. After finishing the movie, other than shedding some tears, I don't really feel anything much but entertained. Half day in, the movie is now stuck in my mind. Took me awhile to process the meaning of life I took from this movie, and the beauty, the growth, the love, the treasuring the time we have together, precious time. It is now in a special place in my heart. Hands down the best Pinocchio movie I have the honour of watching, in my lifetime. Thank you.","13 December 2022",9,45,59
