restaurant,content,date,useful
"Burger King","Whenever I go to a chain restaurant, there's a certain kind of quality for the food I expect. Each time I go to this location, I always end up asking myself why I don't go elsewhere. Not to say the food is bad, but it's a bit subpar from what I have come to expect from a Burger King. It's conveniently by the airport if you need a quick bite, but at times, it will take a randomly long time to get your food.

Overall, it's not a bad place, but just beware the food may be a a bit worse than you expect and may take a while to arrive, even when you're the only person in the store.","2/9/2020",1
"Burger King","Still in disgust of what I just put in my mouth! 
Fries had a weird taste from the beginning 
The burger was dry cold and bread split as I took the first few bites. 
Once I opened the burger to actually look inside 
I was filled with disgust 
guac spread was dark brown 
Lettuce was soggy 
I am honestly speechless and can't process the fact that someone would actually let go of something like this in any chain Restaurant 
Called the restaurant 
Not a very welcoming voice answered 
Burger King! 
I followed to ask why I was serve this in disgust 
The whole meal was off 
All she replied 
Our BROILER broke 
You can come get a refund in the morning when the GENERAL MANAGER IS HERE! 

The fact that the broiler broke does not give any establishment to serve any food that is not up to restaurant quality 

I am still in disbelieve of what just happened 
I will be contacting and taking this issue further if I find myself with any health issues! 
FOOD SHOULD NEVER BE SERVED 
CITY SHOULD MAKE A FEW ROUNDS TO AN ESTABLISHMENT LIKE THIS!","7/4/2022",0
"Burger King","Food was made fresh! I got my sumn usual Texas double whopper , no bacon and a Hi- C no ice. Staff was friendly and attentive. Pretty crowded area given the fact that there's a Chick-fil-A next door. Good location otherwise.","8/17/2021",1
"Burger King","This Burger King is a joke I waited in line for 20min just to see that I didn't get my order correctly they gave me fries instead of onion rings knowing that I asked that If it was onion rings do not shop here it's a joke paying extra and not even getting the order right","5/28/2021",2
"Burger King","I'm giving one star because I have to rate something. This location is the worst. The employees are very rude. They never have even half of the menu. I just went to get a chicken sandwich because I was craving one and they didn't have that, didn't have fries, or any burgers. They only had nuggets. It took her 5 minutes to answer on the speaker box just to tell me they didn't have anything. She was really rude as she was telling me. I won't waste my time coming to this location anymore. I'll never be back. Just close the whole store already.","2/5/2022",0
"Burger King","Twice I placed an order for this location using the Burger King app, only to find the location was closed after my order was accepted and purchased.  The first time was after 9pm, but tonight it was 6pm Saturday and they were already closed.  Apparently they have major staffing issues here, but they should at least have deactivated online ordering for their location if they were going to be closed.  Thankfully addressing the issue through Customer Service via the app was helpful in canceling the orders and reimbursing me, but this location seriously needs to be investigated.","12/4/2021",0
"Burger King","Went on weeknight a couple weeks ago and the dining room was closed at 7pm. There were several people in the drive thru, and based on the reviews I'm glad I didn't. I sent a complaint to corporate and never heard a peep from the location manager, but a survey for the time it took to respond to my complaint. They never addressed it, they just wanted a response to the canned response email I received from corporate they would look into it. Never looked into it because I never got a response at all. I hate to say it, but this location is doomed if they don't change.","6/19/2021",1
"Burger King","I. Don't. Know. Why. This. Burger King. Store. Has Drama. But. It. Does. Well perhaps part of the problem seems to be lack of how to properly handle basic guest relations.  An experienced restaurant manager would of contacted me to explain the situation. One simple conversation not had,  created bigger problems. When companies hire cheaper, unqualified staff to save revenue, unfortunately, sadly, they lack basic hospatility, aka CUSTOMER SERVICE and professionalism. You pay low wages, you will get low skills. 

Broiler broke down and they kept me waiting 20 minutes for a simple chicken salad. With attitude to boot. Not another person in line. 

Because as I tried to explain to the manager and her crew, it's not the broiler breaking down that made my experience horrible. Yeah, it sucks waiting 20 minutes for a 2 minute salad. But seriously. Had she just came outside where I was waiting to apologize for the long wait and offer a coupon or free dessert. Boom. It would of changed the entire dynamic. INSTANTLY!!! Because, it's not what happens, but rather how things are handled in the recovery of things going sideways.

And you can try to teach people they need to be customer service orientated.  But if they don't care, feel under appreciated by their employer, or struggle financially from low wages and high stress work. Boom. Associates will never take or make the time to do the right, basic steps. My personal intuition tells me there are alot of internal problems with this store and company. It is need of a major overhaul. 

Stay away if you expect cooked food, service, or value. Just saying.","5/17/2018",12
"Burger King","WORST BURGER KING ---  Went there on Saturday and waited and waited and waited in the Drive thru only one car in front of me. After about 10 minutes and no movement I decided to leave, as I was leaving I noticed that there were NO other cars in the line leading up to the window so where was the person who was supposed to be talking orders?
Won't be returning to this Burger King.","1/10/2021",0
"Burger King","Only thing I have to say is, worst Burger King I've ever been too. The food was nasty. Don't go there even if you are starving. I would not recommend this place to anyone.","9/12/2021",0
"Burger King","Worlds worst $5 burger...

Soggy bun, white lettuce thrown-on haphazardly, tiny orange tomato slice, paper thin tasteless patty - absolutely disgusting! Why are these places still open with so many other better choices? 

Plus, the building smells and it's dirty. The only good thing about the place were the people. They were nice and smiled, but I would not call the service exceptional.

Can't recommend and will never ever be back!","3/29/2018",1
"Burger King","Stay far far away from this Burger King I decide to come to this drive-through because the Chick-fil-A line was so long I was second in line at the drive-through and it took 20 minutes to get my food,  all the cars had cleared a Chick-fil-A by the time I receive my food. I am not sure why I didn't read the reviews first but definitely is a one star Burger King and it should not even be in business.  Everyone is very slow here and it's just awful

***PAY ATTENTION*** if you try to come to this Burger King when Chick-fil-A is very busy you will have a difficult time maneuvering in and out of Burger King thus  making your stay even longer than you want to be there.","11/12/2019",0
"Burger King","Worst food ever. Threw up all day today after eating breakfast here. It tasted awful and I am now feeling very  sick. The lady working the window was very nice though.","7/27/2021",0
"Burger King","This Burger King is uncomprehendingly horrible. I work in the restaurant industry and my interactions here are literally the worst i have ever experienced. 

I have been going here the past 3 years and just the past 3 months has had a huge downfall. Corporate really needs to reevaluate their associates. My husband tried to get me food the other night and the employees were fighting, he only got half our order and they wouldn't return our money. Just now they told me the system was down and the associate was so rude she didn't care that their was a long line of cars, when I asked how long it would take since I was willing to patiently wait she rudely told me she didn't know and didn't care. There are too many other fast food joints by them, I would recommend never going here. 

Corporate PLEASE evaluate your store on Mockingbird!","6/8/2019",1
"Burger King","I am very sorry. But the drive up was unusable. There speaker setup sounded the the guy on the other end was underwater. After several attempts to place an order, I just left. Terrible.","8/12/2020",0
"Burger King","In line at windows to order for 10 minutes, paid and waited for almost 15 minutes to get my food and no one in line but me. It's 5:16 pm on a Sunday. What's going on here?!? Dinning in restaurants don't take that long.","1/26/2020",0
"Burger King","So after seeing the king in those commercials lately I decided to grab a bite from this bk. Hit the drive thru for a spicy chicken sandwich, whopper, fries and a coke. Lady in the drive thru wasn't rude or anything but she sure seemed like she didn't want to be there. I only wish she would have offered me cheese on my burger and hope she had a better day. The only good part about my meal was the coke and fries. Burger patty was cold (disgusting) and the spicy chicken patty was dry (as if it had been under a heat lamp to long.) The service was fast, don't get me wrong but the quality was horrible. Management needs to get ahold of this location. Or the District Manager should find someone that values not only the customer service, but the overall quality of the food being served. Bk down.","11/16/2019",0
"Burger King","Typical Burger King, however this location has something special. Cold breakfast sandwiches and rude employees. Tried the new taco, it's why you got 2 stars instead of 1. Jack in the box is better though. And since your staff is rude that's where I'm getting mine. Sorry.","8/1/2019",0
"Burger King","Oh, Burger King. Once a shining beacon of fast food, the great rival to McDondald's has since fallen. But with standard fast food offerings, decent service and great deals on chicken nugs, maybe one day it will return to its former glory.

Not much to say about this particular location. The staff is friendly and the speed of service is decent. I've driven thru the few times I've been and usually went for the chicken nugget promotion going on right now (10 nuggets for the cheap price of $1.50).

If you want to eat things that may or may not have once been chicken, you may as well make a stop here.","3/17/2015",1
"Burger King","Setting in drive through for 52 minutes while they do a shift change this is bumb.
I'm only staying to get a receipt now.","6/23/2017",0
