productModel,reviewID,reviewStars,reviewDate,productStyle,productStorage,productColor,productSize,productChip,verified
iPad pro 12,1675113494-1481,5,28jan2023,WiFi + Cellular,256GB,Silver,12.9,M2,1
iPad pro 12,1675113494-1482,4,29nov2022,WiFi + Cellular,512GB,Silver,12.9,M2,1
iPad pro 12,1675113494-1483,4,26jan2023,WiFi + Cellular,128GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1484,5,18jan2023,WiFi,256GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1485,4,17jan2023,WiFi,128GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1486,5,20jan2023,WiFi + Cellular,256GB,Silver,12.9,M2,1
iPad pro 12,1675113494-1487,5,20dec2022,WiFi,256GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1488,5,31dec2022,WiFi + Cellular,128GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1489,5,26dec2022,WiFi + Cellular,256GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1490,5,17jan2023,WiFi,256GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1491,5,12jan2023,WiFi,256GB,Silver,12.9,M2,1
iPad pro 12,1675113494-1492,5,14jan2023,WiFi,512GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1493,5,21jan2023,WiFi,256GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1494,5,18jan2023,WiFi,256GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1495,5,15jan2023,WiFi,256GB,Silver,12.9,M2,1
iPad pro 12,1675113494-1496,5,06jan2023,WiFi,256GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1497,5,01jan2023,WiFi,256GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1498,5,03jan2023,WiFi,512GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1499,5,05dec2022,WiFi,128GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1500,5,24dec2022,WiFi,1T,Silver,12.9,M2,1
iPad pro 12,1675113494-1501,5,22dec2022,WiFi + Cellular,512GB,Silver,12.9,M2,1
iPad pro 12,1675113494-1502,5,26dec2022,WiFi,256GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1503,5,31dec2022,WiFi,256GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1504,5,11dec2022,WiFi + Cellular,1T,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1505,5,29dec2022,WiFi,256GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1506,5,07dec2022,WiFi,256GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1507,5,24nov2022,WiFi,2T,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1508,5,29nov2022,WiFi,256GB,Silver,12.9,M2,1
iPad pro 12,1675113494-1509,3,21jan2023,WiFi,256GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1510,5,08dec2022,WiFi,256GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1511,5,09dec2022,WiFi,512GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1512,5,29nov2022,WiFi,128GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1513,5,18nov2022,WiFi,256GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1514,3,21dec2022,WiFi,256GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1515,5,14nov2022,WiFi,256GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1516,3,03dec2022,WiFi + Cellular,256GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1517,5,17nov2022,WiFi,128GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1518,5,07nov2022,WiFi,256GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1519,1,29oct2022,WiFi,256GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1520,2,30dec2022,WiFi,256GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1521,1,14nov2022,WiFi,1T,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1522,1,03jan2023,WiFi,256GB,Silver,12.9,M2,1
iPad pro 12,1675113494-1523,2,09nov2022,WiFi,256GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1524,1,03jan2023,WiFi,128GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1525,1,12jan2023,WiFi,256GB,Silver,12.9,M2,1
iPad pro 12,1675113494-1526,1,27nov2022,WiFi,256GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1527,1,30dec2022,WiFi,128GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1528,3,28jan2023,WiFi,512GB,Space Gray,12.9,M2,0
iPad pro 12,1675113494-1529,3,19dec2022,WiFi,512GB,Space Gray,12.9,M2,0
iPad pro 12,1675113494-1530,5,16nov2022,WiFi + Cellular,512GB,Space Gray,12.9,M2,0
iPad pro 12,1675113494-1531,2,31oct2022,WiFi,256GB,Space Gray,12.9,M2,0
iPad pro 12,1675113494-1532,1,17nov2022,WiFi,256GB,Space Gray,12.9,M2,0
iPad pro 12,1675113494-1533,1,11nov2022,WiFi,512GB,Space Gray,12.9,M2,0
iPad pro 12,1675113494-1534,1,08nov2022,WiFi,256GB,Space Gray,12.9,M2,0
iPad pro 12,1675113494-1535,5,31dec2022,WiFi,512GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1536,5,16jan2023,WiFi,256GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1537,5,17jan2023,WiFi,512GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1538,5,21dec2022,WiFi,128GB,Silver,12.9,M2,1
iPad pro 12,1675113494-1539,5,31oct2022,WiFi + Cellular,512GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1540,5,30dec2022,WiFi,128GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1541,5,13dec2022,WiFi,256GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1542,5,30dec2022,WiFi,256GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1543,5,17dec2022,WiFi,256GB,Space Gray,12.9,M2,0
iPad pro 12,1675113494-1544,5,28dec2022,WiFi,128GB,Space Gray,12.9,M2,0
iPad pro 12,1675113494-1545,5,13dec2022,WiFi,1T,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1546,5,26jan2023,WiFi,256GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1547,5,13dec2022,WiFi,256GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1548,5,19dec2022,WiFi,256GB,Space Gray,12.9,M2,1
iPad pro 12,1675113494-1549,5,30nov2022,WiFi,256GB,Silver,12.9,M2,1
iPad pro 11,1675113585-1550,5,16jan2023,WiFi,512GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1551,5,19jan2023,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1552,4,04jan2023,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1553,4,05jan2023,WiFi + Cellular,256GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1554,4,23jan2023,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1555,5,21jan2023,WiFi,128GB,Silver,11,M2,1
iPad pro 11,1675113585-1556,5,11jan2023,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1557,5,22jan2023,WiFi,512GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1558,5,25jan2023,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1559,5,19jan2023,WiFi,256GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1560,5,22jan2023,WiFi,256GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1561,5,14jan2023,WiFi,256GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1562,5,16jan2023,WiFi,128GB,Silver,11,M2,1
iPad pro 11,1675113585-1563,4,12jan2023,WiFi,128GB,Silver,11,M2,1
iPad pro 11,1675113585-1564,5,28dec2022,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1565,4,31dec2022,WiFi + Cellular,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1566,5,20dec2022,WiFi,512GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1567,5,03jan2023,WiFi + Cellular,1T,Space Gray,11,M2,1
iPad pro 11,1675113585-1568,5,16jan2023,WiFi,128GB,Silver,11,M2,1
iPad pro 11,1675113585-1569,5,07jan2023,WiFi,256GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1570,5,15jan2023,WiFi,256GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1571,5,01jan2023,WiFi,256GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1572,4,21dec2022,WiFi,128GB,Space Gray,11,M2,1
iPad pro 11,1675113585-1573,5,05jan2023,WiFi,256GB,Space Gray,11,M2,1
