brand,reviewID,reviewContent,reviewStars,reviewDate,reviewCountry
"Axe","1675945329-821","Love axe. This is my favorite scent. Love the price!",4,"January 11, 2023","United States"
"Axe","1675945329-822","Great value. It serves its purpose. Worth it.",4,"January 4, 2023","United States"
"Axe","1675945329-823","Staying fresh!",5,"January 29, 2023","United States"
"Axe","1675945329-824","Last all day long.",5,"January 8, 2023","United States"
"Axe","1675945329-825","Used axe antiperspirant for almost 15 years

Wanted to get away from aluminum

This stick only would last a few hours and I’m not a very smelly person. The odor under my arm was worse than if I had skipped putting anything there.

Switched to Duke Cannon and couldn’t be happier",3,"January 20, 2023","United States"
"Axe","1675945329-826","It smells really good and stays with you all day. I will be buying it again.",5,"December 6, 2022","United States"
"Axe","1675945329-827","How do use may ask products Muslim mouth great and last long. This particular I did not smell all that great",4,"September 1, 2022","United States"
"Axe","1675945329-828","The smell doesn’t last very long",4,"September 18, 2022","United States"
"Axe","1675945329-829","The scent smell good initially but then creates a weird scent to make you question your freshness.",3,"November 23, 2022","United States"
"Axe","1675945329-830","Bought this pack because it is cheaper than buying indvidually at the store. Smells good and without the antipersperant crap that is not good for your skin/pores. I will buy again whenever I go through all 4.",4,"June 11, 2022","United States"
"Axe","1675945329-831","Nice fragrance easy to use last a long time.",4,"July 21, 2022","United States"
"Axe","1675945329-832","I have been using for years. It works very well.",4,"July 18, 2022","United States"
"Axe","1675945329-833","I was already and Axe fan and purchased this version as I've been trying to avoid aluminum in my deodorant.  I have been very pleased with the results as it seems to do a good job of protecting against unwanted odor.  It also has a pleasant scent that stays with you all day and doesn't bother my skin.
I purchased the 4-pack so the cost per each was much better than if purchased individually.  I intend to try some of the other scents in the future.",5,"June 20, 2022","United States"
"Axe","1675945329-834","Makes my shirts smell like BO. Not other deodorant has done this. Scent does not last long at all",3,"October 22, 2022","United States"
"Axe","1675945329-835","Dies not deodorize well",4,"July 2, 2022","United States"
"Axe","1675945329-836","The scent is great and works perfectly, but it doesn't last for 48h, that's a big lie. Probably between 12h and 16h.",3,"October 2, 2022","United States"
"Axe","1675945329-837","Same product as in the store but much cheaper. It was shipped quickly, packaged nicely. Will definitely be buying these products again when needed.",5,"September 14, 2022","United States"
"Axe","1675945329-838","Smells good for like the first hour but not even half way through the f
Day I can start getting the bit of BO smell an I never ever have that problem sense I was a teenager. I didn’t realize that it wasn’t a  anti-press doesn’t do it’s job but smells good and I’ve used acts many times in the years and never had this problem but I guess you get what you pay for trying to save some pennies in return body odor",3,"May 29, 2022","United States"
"Axe","1675945329-839","Love the value and scent . But doesn’t last very long for protection",3,"September 16, 2022","United States"
"Axe","1675945329-840","They changed something since the previous version and it doesn't last nearly as long. I don't even noticeably sweat most days and find that by the end of the day, it isn't stopping any odor. One days where I am sweating a noticeable amount, it immediately wears off. This did not happen with the previous version.",3,"June 8, 2022","United States"
"Axe","1675945329-841","I’ve had bad luck with other brands breaking out my skin but with Axe I’ve never had that! Long lasting even when it’s 100 degrees here!",5,"July 24, 2022","United States"
"Axe","1675945329-842","Unrivaled quality. Quality of the wrapping was fantastic. Quick to send. Thanks,",5,"August 25, 2022","United States"
"Axe","1675945329-843","great deal and works great. cheaper than buying at the store for sure",5,"August 16, 2022","United States"
"Axe","1675945329-844","smells nice thats for sure!",5,"September 7, 2022","United States"
"Axe","1675945329-845","The scent SMELLS good but isn't overwhelming (I'm one of those people where I literally want everyone around me to be able to smell it). It's a subtle scent, and I think because of that, after a few hours at work I can't smell it anymore. I bought a different scent with anti-sweat before and that one actually smelled stronger and lasted the whole day.
It smells good but I probably won't buy this one again.",3,"March 22, 2022","United States"
"Axe","1675945329-846","Good deodorant last a long time was it the smell I thought it would be a little different than the ones in the store",4,"January 11, 2022","United States"
"Axe","1675945329-847","I like axe products but, this deodorant just doesn’t last long at all. I wouldn’t buy it again.",2,"January 7, 2023","United States"
"Axe","1675945329-848","It stop da stank",4,"March 24, 2022","United States"
"Axe","1675945329-849","solid type, fresh scent",5,"August 26, 2022","United States"
"Axe","1675945329-850","Normally deodorants will last me a whole day. I find myself having to reapply this at least once in the middle of a day. I will not buy again.",3,"June 13, 2022","United States"
"Axe","1675945329-851","I don't have a particularly strong odor when I sweat, but it overwhelms this product. I'll not be buying it again.",3,"June 23, 2022","United States"
"Axe","1675945329-852","It last about 24 hrs out of the 48! My husband awakens musty if he doesn't shower after his 12 hour shift. Keeping in mind that his job isn't hard /heavy labor( no sweating).",3,"May 9, 2022","United States"
"Axe","1675945329-853","Axe was always my go to for my deodorant it always smells good doesn't matter what you wear it for the occasion. I catch myself sniffing sometimes too just because it smells good",5,"April 20, 2022","United States"
"Axe","1675945329-854","Great product",5,"August 17, 2022","United States"
"Axe","1675945329-855","I've been using this product for over 10 years, and I bought the ""new"" formula in July. It does not last more than an hour or two. Not sure what they changed but it's a massive difference.",2,"October 21, 2022","United States"
"Axe","1675945329-856","Well worth it great scent and effective DO, worth every penny",5,"June 25, 2022","United States"
"Axe","1675945329-857","I will not order this again. They changed the scent of Phoenix. We do not like it in this household.",2,"November 16, 2022","United States"
"Axe","1675945329-858","Wonderful scent",5,"July 27, 2022","United States"
"Axe","1675945329-859","The product smell barely lasted a day. Decent smell but not lasting enough.",2,"November 29, 2022","United States"
"Axe","1675945329-860","Okay so I have been giving these a try....They say 48 hours....Not even close....My pits aren't as bad as a lot of people I know and seriously it's like 48 minutes and I have to wash and reapply....it seems to actually draw out the smell and amplify it when it does....I will be switching to another deodorant brand it seems because Axe changed their formula and now they hardly work at all....48 minutes....maybe 4.8 minutes and the BO is worse than if I wash and don't put on deodorant....Not sure what they did....I thought one of the sticks was bad so I gave it time and tried the others....Same results....their 48 hours claim is bogus....I now have to find a different brand because this stuff doesn't work, whatever changes they made were not good, it's like they say if it isn't broke, don't fix it....Well they took a working formula and messed it up royally, and claim that it now works not just for the previous 24 hours but twice that....48 hours....No way....A single stick can last you 48 hours because you will have to keep reapplying it....",1,"August 8, 2022","United States"
"Axe","1675945329-861","The smell does not last for more than two hours. Bad investment.",2,"November 27, 2022","United States"
"Axe","1675945329-862","First time using this X product does not work well at all does it give you the protection that it says for 48 hours would not recommend",3,"March 24, 2022","United States"
"Axe","1675945329-863","48 hours? Not even close. This deodorant does not make it past one workout. If you did not do any activity the deodorant might make it to 24 hours. 1 star for good scent, 1 star for easy application. Go with Old Spice deodorant over this one for lasting power. Just because it does not have aluminum, does not mean it should be useless.",2,"July 31, 2022","United States"
"Axe","1675945329-864","Does not work well as a deodorant.  It has a nice smell when it goes on.  But it does not work.  I sit in an air conditioning building all day, by the end of the day this ""deodorant"" fails.  This stuff used to be great, but the new formula does not work.",2,"August 18, 2022","United States"
"Axe","1675945329-865","This didn’t work for me, your armpits may differ.?I’m a heavy sweater. The only deodorant that works for me is Old Spice Original High endurance. I’ve been using it for decades. Thought I would try something different. Arm and Hammer wasn’t bad, but this Axe Product didn’t last an hour after heavy sweating. I did have an Axe deodorant that worked ok but not like my old spice",2,"July 13, 2022","United States"
"Axe","1675945329-866","I am used to buying anti-perspirant so maybe that is the issue.  I don't sweat much, so I was really surprised at how soon the scent would wear off.  I don't know why but body odor was stronger 12 hours after using this than if I had not used any at all.  For the first 12 hours I like the smell, but it does not last anywhere close to 48 hours.",2,"June 23, 2022","United States"
"Axe","1675945329-867","Stuff works great to keep me dry",5,"May 16, 2022","United States"
"Axe","1675945329-868","Smells great when you first apply it. However seems to only last about 12 hours before I get BO pit smell. Not sure how they tested it to declare it works for 48 hrs.
I will say that it does not irritate my skin like a strong anti-perspirant does so it's a trade-off. Use this daily and use a stronger one when heading out and you want sweat and smell protection",2,"May 27, 2022","United States"
"Axe","1675945329-869","Excellent deal",5,"May 26, 2022","United States"
"Axe","1675945329-870","I hardly write product reviews but this product was so bad I had to write a warning so others can save their time and money.  The deodorant I received was Axe Phoenix 48hour 3 oz in blue gel form.  The scent was barely there compared to the white stick 2.7 oz I came across at a local store.  The one I received hardly worked over 2 hours.  Usually, my shirt smells nice after applying deodorant but not this one.  They should discontinue this product.  I never smelled this bad after applying deodorant.  I am returning this for a refund for sure.",1,"October 27, 2022","United States"
"Axe","1675945329-871","Pros:
- No aluminum
- Very light smell
- Doesn't leave white residue on a shirt
- No allergies

Cons:
- Doesn't last long
- Will scratch you if not extra extended
- Hard to wash off a freshly applied layer in case needed. ( I don't remember why but i needed to wash it off me once or twice )

Overall, i like it and been using it for YEARS! Amazon package is cost effective and you don't need to run to the store to get one.",5,"May 13, 2020","United States"
"Axe","1675945329-872","Can't be used",2,"November 4, 2022","United States"
"Axe","1675945329-873","I was misled by the great reviews. I used this deodorant for 3 days and all 3 days I could smell myself stinking. And that’s without working out or sweating.
I wake up in the morning, take a shower, dry up, put my deodorant on, get dressed. I go to work, office job, cool AC all day. 8 hours later driving home I could smell my armpits stinking up around me.
Ive used several different deodorants and most have done the job well… some were just ok. This product wouldn’t even compete. Wouldn’t buy it if they were selling a 4pk for $1.",1,"October 22, 2022","United States"
"Axe","1675945329-874","Blue gel. Description is not clear",4,"September 4, 2021","United States"
"Axe","1675945329-875","I’ve used other Axe solids as well as other leading antiperspirant/deodorants. This particular product *will not keep you fresh for a full 12 hrs*. I’m not especially stinky. I definitely have to reapply THIS product after work/before gym.",2,"August 4, 2022","United States"
"Axe","1675945329-876","Bought it because I thought Axe products generally smell good, but this scent is very close to body odor to start, and progressively gets nastier over the next 24+ hours. In hindsight, it's worth it to buy one at the grocery store first to sample it.",1,"December 24, 2022","United States"
"Axe","1675945329-877","Barely a whole day and my underarms already smells",2,"October 6, 2022","United States"
"Axe","1675945329-878","If I could zero stars or negative stars I would.

For many years I bought the Axe Fresh product Phoenix and it worked extremely well and smelled good.  Then they changed something and now it only lasts for 3 hours and the protection is gone.  One would most likely have better protection by not using this product.

This company is no longer my go to.  I am done and will have to look at a different brands altogether until this company acknowledges they changed the ingredients resulting in unhappy consumers and a terrible product.  DO NOT BUY!",1,"September 23, 2022","United States"
"Axe","1675945329-879","I prefer deodorants to antiperspirants - no stickiness and no dark marks on my t-shirts (cause of no aluminum, I guess).
This one kinda works, but not well. I start stinking (sour smell) after only a few hours during the summer. Okay for colder weather I guess, fresh smell when just applied.",3,"July 29, 2021","United States"
"Axe","1675945329-880","Maybe works better for others.  For me, this product did not mask perspiration or odor.  Would have needed to re-apply every hour.  Went back to Old Spice.  I will not get this brand again.",2,"July 18, 2022","United States"
"Axe","1675945329-881","Ot much to say but smells great",5,"March 6, 2022","United States"
"Axe","1675945329-882","Doesn't work. I used it and about 3 hours later I could smell myself through my shirt.",1,"February 5, 2023","United States"
"Axe","1675945329-883","Retail packaging doesn't say whether the stick on the shelf is the white stick or the blue stick. It was nice to know in advance which I was getting because of the customer questions.
This is the blue stick, btw, and my husband is thrilled.",5,"April 24, 2021","United States"
"Axe","1675945329-884","Good product. Smells good and works well.",5,"March 2, 2022","United States"
"Axe","1675945329-885","Disappointed after the first day could smell my armpits by 1 o’clock working outside in the construction industry. Not sure why I switched when the old deodorant worked",2,"July 29, 2022","United States"
"Axe","1675945329-888","I don't know how they messed this up.  It smells good, guess on clear, but that is where the good stops.  After just a little bit and no activity it almost seems like it makes you smell.  I've been an axe user for years but this product is so bad.  Stay away!",1,"November 25, 2022","United States"
"Axe","1675945329-889","The scent won't last 48 hours, it's closer to 16. I'm not sure what chemical is causing it but I get skin peeling and redness.",2,"July 27, 2022","United States"
"Axe","1675945329-890","How can you possibly screw up a deodorant formula?  The new formula has a scent that barely lasts 4 hours.  You can tell as soon as you put it on that it doesn't apply the same.  Terrible, have been using for 5 years and now have to find another brand.",1,"November 22, 2022","United States"
"Axe","1675945329-891","Been using this for years and never had smelly pits, but this new formula lasts for about an hour or two. Terrible!",1,"January 7, 2023","United States"
"Axe","1675945329-892","I'm a heavy sweater, and this tends to last me all day as long as I'm not doing cardio in a hot box. Makes my sweat smell like baby laughter. Recommended",5,"July 17, 2021","United States"
"Axe","1675945329-893","I was eager to try the ""new"" clear, aluminum and paraben free formula but I was disappointed with the results, and actually had to stop using this product halfway through one stick. It wasn't effective for even 1 day. Also, to say it bluntly so you understand: It caused my armpits to itch so bad I couldn't sleep. I've used Axe for years, but can't do it with this new formula.",1,"October 27, 2022","United States"
"Axe","1675945329-894","These don't work at all.  Like, I've never had deodorant this bad before.  Been using Axe Phoenix a long time, and the clear sticks suck.  Only the white (DRY) sticks work right.",2,"June 2, 2022","United States"
"Axe","1675945329-895","I am sorry but this deodrant didn't work! It was so embaressing, I have trusted the product, yet I could smell my sweat and it seemed like this deodrant didn't work at all! It was a waste of money for me!!!",2,"May 10, 2022","United States"
"Axe","1675945329-896","This deodorant did not work well on my body. After the first use, I notice that my body did not approve and my armpits smelled bad. Will not buy again!",1,"December 4, 2022","United States"
"Axe","1675945329-897","Trying to get away from so much aluminum antiperspirant so I figured I'd give something aluminum free a try.  What a mistake.  Applied at 6am and by noon I already reek of BO; and this is during a pretty sedentary work day.  The 48hr claim is laughable.  I don't understand how people use this stuff.  Unfortunately I'll be going back to what works.",1,"October 19, 2022","United States"
"Axe","1675945329-898","Perfect",5,"February 12, 2022","United States"
"Axe","1675945329-899","GREAT",5,"January 28, 2022","United States"
"Axe","1675945329-900","I was in an axe commercial and have represented the brand a lot. But a product that claims 48 hours and has me on set like #WhatsThatSmell ... Oh wait that's me.. only scent .. now I know I sweat but 4 hours later and smelling like that means to me it is just scent and not stopping the main issues. Thank God I'm cute and still got the numbers and IG 🤣🤣🤣🤣 #JahGoodLove",1,"September 25, 2022","United States"
"Axe","1675945329-901","Suddenly after years of this being a great product, I stink after 1 hour or less.  This 'new formula' is ineffective.  I can't believe I'm reviewing deoderant.",1,"November 29, 2022","United States"
"Axe","1675945329-902","Was exacly what u expected",5,"January 5, 2022","United States"
"Axe","1675945329-903","Product claims to work 48 hours, but it doesn't even manage to work for 4 hours. I have been using the original Phoenix fresh for years, but I purchased this variant by mistake. This one doesn't have the same scent as the original and definitely lacks it's predecessor's performance.

I opened the first stick and put it on at 7am. Noticed I reeked of B.O. by 9am while sitting in an air conditioned office with the thermostat set to a ""balmy"" 65° F. Re-applied at lunch, lasted about two more hours. Two applications, and it failed to get through a single day in a cool, dry room out of the sun. Maybe they meant you'll use the whole stick in 48hrs?

Got home and threw all 4 sticks in the trash. Ironically, trash day was 48hrs away. Which I laughed a little to myself about.

So basically, the best part about using this product was throwing it in the trash.",1,"September 8, 2021","United States"
"Axe","1675945329-904","Thought deodorant smelled weird because of covid but they switched scents on me for my subscribe and save.  Now trying to find original scent.",2,"June 7, 2022","United States"
"Axe","1675945329-905","Great price point for the number of sticks you get, and I like the smell. It’s clean, not Axe-like or overpowering. The scent and product capabilities hold up during the course of almost 24 hours.

Maybe a good additional point- as a woman married to the man who uses these, I’ve used them from time to time and found that even on freshly-shaved underarms there’s no sting!

Definitely recommend and think this is a great buy.",5,"March 17, 2019","United States"
"Axe","1675945329-906","I have never used less effective deodorant on my life.  I have generally used degree, right guard, Gillette and other Most recently other Axe deodorants. I switched to this. Cause the other Axe products seem to paint my shirts white in the wash.

This deodorant doesn’t stain shirts, but it also barely lasts 4 hours.  It’s terribly ineffective - need to reapply numerous times / day.",1,"October 3, 2022","United States"
"Axe","1675945329-907","It’s deodorant. It’s what I like. Came when told in a box with air bubble for protection.",5,"August 6, 2021","United States"
