supermarket,week,niveaSales,niveaPrice,niveaRPrice,niveaDisplay,niveaFeature,niveaDisplayFeature,doveSales,dovePrice,doveRPrice,doveDisplay,doveFeature,doveDisplayFeature,axeSales,axePrice,axeRPrice,axeDisplay,axeFeature,axeDisplayFeature,rexonaSales,rexonaPrice,rexonaRPrice,rexonaDisplay,rexonaFeature,rexonaDisplayFeature
OKay,"2019, week 046",25.94,4.245296838858906,4.248277197057686,.02,.08,.05,28.68,3.902719665271967,3.970223978919631,0,0,0,74.41,4.775984410697487,4.797814733369985,.02,.03,.02,70.27,3.877244912480433,3.886199971309712,.01,0,0
OKay,"2019, week 047",25.87,4.243216080402011,4.243216080402011,.03,.03,.05,35.38,3.887874505370266,3.906046511627891,0,0,0,71.23999999999999,4.797445255474452,4.797445255474452,.02,0,0,70.58,3.885817512043073,3.885817512043073,0,0,0
OKay,"2019, week 048",69.25,3.398209386281589,4.405915894511761,.05,.07,.29,37.79,3.887615771368087,3.9,.03,.07,.06,82.95,4.796443640747438,4.796443640747438,.05,0,.03,76.29000000000001,3.886197404640189,3.886197404640189,.01,.09,.04
OKay,"2019, week 049",54.79,3.717539697025005,4.395482778091473,.31,.01,.03,32.57,3.873656739330672,3.862006319115324,.05,.04,.03,76.13,4.797517404439774,4.797517404439774,.04,.09,.05,72.28,3.88111510791367,3.886958339138916,.02,.07,.04
OKay,"2019, week 050",27.78,4.275305975521958,4.275305975521958,.01,0,0,66.64,3.004591836734694,3.881601801222257,.01,.17,.14,234.94,3.507355069379416,4.733695652173989,.1,.1,.32,65.34,3.884481175390266,3.886824324324325,.03,0,0
OKay,"2019, week 051",27.42,4.265061998541211,4.265061998541211,.02,0,0,40.46,3.734849233811172,3.885077890133916,.06,0,.04,146.77,3.740035429583703,4.543085106382956,.3,0,0,71.55,3.869657582110412,3.886556169429098,0,0,0
OKay,"2019, week 052",27.46,4.247960670065551,4.25991932526586,.01,0,0,32.45,3.867550077041602,3.887507749535028,0,.02,.02,74.38,4.796786770637269,4.806946802490097,.05,0,0,124.17,3.297374567125715,3.702874132804759,.24,0,0
OKay,"2020, week 001",37.76,3.847669491525424,4.214830690098586,.02,0,0,36.78,3.886922240348015,3.886922240348015,0,0,0,60.3,4.791243781094528,4.797100234663091,.02,0,0,148.5,3.175676767676768,3.563793103448289,.31,0,0
OKay,"2020, week 002",95.45,3.285751702462022,4.017566688353935,.24,0,0,37.69,3.888617670469621,3.888617670469621,0,0,0,64.76000000000001,4.78526868437307,4.797715262667081,.01,0,0,82.34,3.88594850619383,3.886319218241042,.06,.01,.05
OKay,"2020, week 003",92.45999999999999,3.253936837551374,4.40812182741117,.29,0,0,33.87,3.881576616474757,3.887292654028436,0,0,0,69.09999999999999,4.797018813314039,4.797018813314039,0,0,0,66.33,3.887652645861601,3.887652645861601,.03,.04,.05
OKay,"2020, week 004",31.49,4.206319466497301,4.261727989487516,0,.02,.05,37.35,3.886773761713521,3.886773761713521,0,0,0,65.8,4.797355623100304,4.797355623100304,0,0,0,70.8,3.886596045197741,3.886596045197741,.02,0,.02
OKay,"2020, week 005",25.8,4.261782945736434,4.261782945736434,0,.01,.01,33.15,3.886666666666667,3.886666666666667,0,0,0,63.66,4.79770656613258,4.79770656613258,.03,.01,.03,66.84999999999999,3.886387434554974,3.88694935570872,.03,.09,.27
OKay,"2020, week 006",29.97,4.263496830163497,4.267372311827957,0,0,.04,38.43,3.878011969815248,3.887074829931973,0,0,.02,69.26000000000001,4.786124747328905,4.796551724137931,0,0,0,69,3.887,3.887,.06,.01,0
OKay,"2020, week 007",26.75,4.265943925233644,4.265943925233644,0,.04,.03,33.94,3.886210960518563,3.886210960518563,.01,.02,.01,67.47,4.79383429672447,4.7964317573595,0,0,0,66.16,3.886245465538089,3.886245465538089,.05,0,0
OKay,"2020, week 008",31.29,4.264781080217323,4.267318794098782,.01,0,0,35.86,3.887311767986615,3.887311767986615,.03,.04,.03,69.26000000000001,4.744455674270863,4.781293680297399,.02,0,0,256.94,3.01301081964661,0,.07,.14,.29
OKay,"2020, week 009",29.56,4.249188092016239,4.249188092016239,0,0,.01,35.84,3.885491071428572,3.886177951874649,0,0,0,82.38,4.714433114833698,4.791716129032258,0,0,0,146.48,3.144299563080285,3.550000000000199,.32,.03,.02
OKay,"2020, week 010",29.9,4.275217391304349,4.275217391304349,0,0,0,31.61,3.886017083201518,3.886017083201518,0,0,0,246.69,3.61949004823868,0,.02,.12,.27,54.74,3.88646328096456,3.88646328096456,.03,0,0
OKay,"2020, week 011",25.26,4.261282660332541,4.261282660332541,0,.03,.03,38.02,3.887006838506049,3.887006838506049,0,0,.04,176.64,3.641530797101449,3.777874743326487,.15,0,.01,61.71,3.882725652244369,3.886857805767318,.06,.01,.01
OKay,"2020, week 012",27.14,4.222365512159175,4.264694656488549,.01,.01,.01,40.47,3.88650852483321,3.88650852483321,0,0,0,69.52,4.7805667433832,4.795979097111338,.01,.04,.06,66.63,3.886732702986643,3.886732702986643,.1,.01,0
OKay,"2020, week 013",25.1625,4.254932935916544,4.271541023312142,0,.17,.26,29.9175,3.886638255201805,3.886638255201805,0,0,0,50.5575,4.789037234831627,4.796631892697467,.01,0,0,52.0275,3.887256739224448,3.887256739224448,.08,0,0
OKay,"2020, week 014",50.661,3.713690017962536,4.398341689163131,.31,.11,.05,25.701,3.887506322711179,3.887506322711179,0,.07,.04,48.256,4.797602370689656,4.797602370689656,.09,0,0,43.03,3.886842900302115,3.886842900302115,.06,.08,.05
OKay,"2020, week 015",31.16850000000001,3.727721898711841,4.332641107561235,.34,.04,.01,20.801,3.886938127974617,3.887592788971368,.01,0,0,41.6405,4.795284638753137,4.795284638753137,.01,0,0,42.2345,3.885948691235838,3.885948691235838,.05,0,0
OKay,"2020, week 016",7.25,4.103068965517242,4.219569041336851,.02,0,0,9.715,3.821718991250644,3.845677233429394,.01,0,0,17.8125,4.713207017543859,4.746179560649475,0,0,0,18.1725,3.830430595680286,3.852205882352941,.03,0,0
OKay,"2020, week 017",15.4575,4.175138282387191,4.198786885245902,0,0,0,21.276,3.810913705583756,3.83286530223703,.01,.03,.06,39.987,4.715901417960838,4.751782682512734,.03,.03,.03,39.465,3.820695553021665,3.837557403500061,.02,.11,.09
OKay,"2020, week 018",18.3235,4.183611209648811,4.201637380191694,.03,0,.03,28.873,3.782057631697433,3.821277181392789,.07,0,.03,57.42749999999999,4.694714204867006,4.741961437092524,0,0,0,167.4465,2.232622957183339,2.307042253521103,.29,.03,.04
OKay,"2020, week 019",20.6925,4.241138093512142,4.241138093512142,.03,0,.01,26.7975,3.886537923313742,3.886537923313742,.07,.01,.02,56.745,4.797079037800688,4.797079037800688,0,0,0,209.19,2.384949089344615,0,.01,.24,.37
OKay,"2020, week 020",25.976,4.263710732984292,4.263710732984292,0,0,0,36.2525,3.884150058616648,3.8873786407767,.04,0,0,228.2165,3.618250214160676,0,0,.21,.31,53.601,3.887218522042499,3.887218522042499,.03,.03,.02
OKay,"2020, week 021",28.9275,4.251789819376027,4.251789819376027,0,.03,.05,33.896,3.886519058295964,3.886519058295964,.12,0,0,171.8265,3.700691104107923,3.899999999999979,.23,.03,.03,74.461,3.887228884919623,3.887228884919623,.14,.34,.32
OKay,"2020, week 022",107.898,3.205485921889192,3.849514563106815,.28,.01,.02,36.2796,3.885953538627769,3.885953538627769,.05,0,0,81.02640000000001,4.790723270440251,4.79443695625536,.01,0,0,75.18559999999999,3.884749739311783,3.884749739311783,.16,0,0
OKay,"2020, week 023",72.84,3.221801208127402,3.948507462686558,.25,0,0,32.92,3.886573511543135,3.886573511543135,.02,.07,.01,80.11,4.408088877793035,4.412228260869568,0,.07,.01,70.03,3.887191203769813,3.887191203769813,.1,.08,.01
OKay,"2020, week 024",26.97,4.301038190582129,4.301038190582129,0,.01,.04,43.85,3.88636259977195,3.88636259977195,.03,.08,.05,92.59999999999999,4.415086393088553,4.434222815210141,.04,.06,.08,93.44,3.886087328767123,3.886628093860494,.08,.03,.05
OKay,"2020, week 025",33.2,4.214036144578314,4.258620689655173,0,0,0,40.26,3.886761053154496,3.886761053154496,.02,0,0,97.47,4.371878526726173,4.409198394619808,.1,.04,.12,77.08,3.876050856253243,3.883624196299699,.06,0,0
OKay,"2020, week 026",32.19,4.259832246039143,4.265892689049263,0,0,0,41.32,3.886786060019361,3.886786060019361,.01,.03,.04,90.7,4.388897464167585,4.406007886801206,.03,.11,.07,85.41,3.872146118721461,3.887488117870723,.03,.06,.05
OKay,"2020, week 027",29.91,4.261618187897025,4.261618187897025,.02,.02,.04,37.89,3.885932963842702,3.885932963842702,.01,.02,.03,89.56999999999999,4.406821480406387,4.40702512220075,.02,0,0,88.28,3.883948799275034,3.886962962962963,.02,0,0
OKay,"2020, week 028",29.1,4.265429553264605,4.265429553264605,.01,.01,0,35.64,3.887233445566778,3.887233445566778,.02,0,0,250.71,3.588883570659327,0,.01,.1,.29,85.3,3.887198124267292,3.887198124267292,.03,0,0
OKay,"2020, week 029",30.66,4.26252446183953,4.266305418719212,0,.09,.1,31.87,3.887762786319423,3.887762786319423,.01,0,0,186.76,3.647740415506533,0,.27,.07,.01,77.59999999999999,3.886765463917526,3.886765463917526,.02,0,0
OKay,"2020, week 030",30.22,4.261780277961615,4.261780277961615,.01,0,.01,35.31,3.886745964316058,3.886745964316058,.02,0,0,94.92,4.406605562579014,4.407448849104859,.01,.05,0,84.19,3.88548521202043,3.886996904024768,.02,0,0
OKay,"2020, week 031",35.4,4.24593220338983,4.24593220338983,0,0,0,32.23,3.886689419795221,3.887876903947777,.01,.02,.02,93.42,4.407086277028474,4.407086277028474,.01,.06,.02,80.61,3.887098374891453,3.887098374891453,.02,.06,.08
OKay,"2020, week 032",39.7,4.256272040302266,4.263376689619995,0,.01,0,42.76,3.899087932647334,3.899087932647334,.04,0,.01,93.70999999999999,4.407043005015474,4.407043005015474,.01,0,0,179.17,3.186694201038121,0,.02,.21,.32
OKay,"2020, week 033",34.98,4.254545454545455,4.256271477663231,0,0,0,43.3,3.887090069284065,3.887090069284065,.04,.02,.02,89.13,4.407281498934141,4.407281498934141,.01,.04,.05,122.35,3.188532897425419,3.588732394366257,.24,.3,.26
OKay,"2020, week 034",91.75,3.285068119891009,3.535843373493978,.28,.02,.02,33.29,3.887894262541304,3.887894262541304,0,.01,.05,86.23999999999999,4.409508348794063,4.409508348794063,.04,.13,.15,74.64,3.88728563772776,3.88728563772776,.04,.02,.05
OKay,"2020, week 035",87.09999999999999,3.347462686567165,3.804059040590412,.32,.07,.05,36.06,3.887742651136994,3.887742651136994,0,0,0,94.63,4.170083483039206,4.198622383596754,.12,0,0,74.67,3.885897950984331,3.885879039828349,.03,0,0
OKay,"2020, week 036",34.2,4.272894736842105,4.272894736842105,.01,0,0,39.54,3.887835103692463,3.887835103692463,0,0,0,87.78,4.396867167919799,4.399634619776204,.06,.06,.01,377.07,2.737388283342616,0,.02,.19,.32
OKay,"2020, week 037",28.52,4.234572230014026,4.239388615600842,0,.01,.03,38.78,3.886926250644662,3.886926250644662,.02,.02,.01,99.52,4.380576768488746,4.380576768488746,.03,0,0,211.89,2.908664873283307,3.48546637744035,.32,.02,.04
OKay,"2020, week 038",33.07,4.210553371635924,4.258858390517779,0,0,.05,35.31,3.886745964316058,3.886745964316058,0,0,0,90.31999999999999,4.402181133746679,4.406826280623608,.02,0,0,71.69,3.884223741107547,3.886015569709838,.02,0,0
OKay,"2020, week 039",29.64,4.277192982456141,4.28073644732356,0,.02,.04,31.67,3.8880959898958,3.8880959898958,0,.06,.02,87.04000000000001,4.406169577205882,4.406169577205882,.01,0,0,66.55,3.885349361382419,3.88591210114389,.04,.03,.02
OKay,"2020, week 040",32.5,4.240800000000001,4.245462962962963,0,.01,.02,36,3.874,3.885389154256814,.02,.05,.01,86.33,4.40461021661068,4.407320763500931,.03,.04,.02,74.77,3.883308813695333,3.885514834205934,.03,.01,0
OKay,"2020, week 041",33.86,4.244388659184879,4.25001485884101,.02,.04,.01,34.11,3.878657285253591,3.886153846153846,.02,.05,.01,84.34999999999999,4.005417901600475,4.349349013019741,0,0,0,74.25,3.87776430976431,3.886386508907929,.02,.02,.01
OKay,"2020, week 042",24.75,4.262949494949495,4.262949494949495,0,0,0,34.89,3.887331613642877,3.887331613642877,.07,0,0,300.12,3.10406837265094,.8666666666637929,0,.1,.28,70.8,3.887146892655368,3.887146892655368,.01,.04,.06
OKay,"2020, week 043",28,4.255642857142857,4.255642857142857,.04,.04,.01,30.45,3.885911330049262,3.885911330049262,.02,.01,0,171.94,3.143090613004536,3.825714285714276,.27,0,0,66.19,3.886644508233873,3.886644508233873,.01,.01,0
OKay,"2020, week 044",30.53,4.24746151326564,4.253679653679654,0,.02,0,36.49,3.886462044395725,3.886462044395725,.01,0,0,96.17,3.558542164916294,3.673570948217886,.01,0,0,328.74,3.014984486220114,0,0,.07,.31
OKay,"2020, week 045",28.26,4.25789101203114,4.25789101203114,0,.02,.03,30.76,3.887743823146943,3.887743823146943,.01,.1,.07,84.56999999999999,3.587489653541445,3.602753916119253,0,0,0,168.81,3.104490255316628,3.243467336683432,.27,.13,.06
