sex,maritalstatus,age,education,income,occupation,city
male,single,67,university,42000,official duties,big city
female,non-single,22,high school,50000,official duties,big city
male,single,49,high school,30000,unemployed,small city
male,single,45,high school,57000,official duties,mid city
male,single,53,high school,50000,official duties,mid city
male,single,35,high school,48000,unemployed,small city
male,single,53,high school,52000,official duties,mid city
male,single,35,high school,65000,management,mid city
male,non-single,61,university,51000,unemployed,small city
male,non-single,28,high school,58000,management,small city
female,non-single,25,high school,36000,official duties,small city
female,non-single,24,high school,43000,official duties,small city
female,non-single,22,high school,36000,official duties,big city
male,single,60,university,30000,unemployed,small city
female,non-single,28,high school,34000,official duties,mid city
female,non-single,32,high school,29000,unemployed,small city
male,single,53,high school,42000,official duties,small city
male,single,25,unknown,52000,official duties,big city
female,non-single,44,university,87000,management,big city
male,single,31,unknown,48000,official duties,mid city
male,single,48,high school,40000,official duties,mid city
male,single,44,high school,49000,official duties,mid city
male,single,48,high school,30000,unemployed,small city
male,single,44,high school,45000,official duties,big city
male,non-single,26,high school,35000,official duties,big city
male,single,36,high school,24000,unemployed,small city
male,non-single,39,high school,23000,unemployed,small city
female,non-single,42,university,54000,official duties,mid city
male,single,34,high school,40000,official duties,mid city
male,single,63,university,59000,official duties,small city
male,non-single,36,high school,53000,official duties,mid city
male,single,27,unknown,40000,official duties,mid city
male,single,30,unknown,54000,official duties,big city
male,single,57,university,29000,unemployed,small city
female,non-single,33,high school,52000,management,mid city
male,single,25,unknown,35000,unemployed,small city
male,single,31,unknown,48000,official duties,big city
male,single,37,high school,43000,official duties,mid city
male,single,37,high school,40000,official duties,mid city
male,single,24,unknown,31000,official duties,mid city
male,single,30,unknown,54000,management,mid city
male,non-single,26,high school,44000,official duties,small city
male,single,44,high school,45000,unemployed,small city
male,non-single,24,high school,52000,official duties,mid city
female,non-single,58,university,47000,unemployed,mid city
female,non-single,35,high school,46000,management,mid city
male,single,39,high school,47000,official duties,small city
female,non-single,23,high school,22000,unemployed,small city
male,single,39,high school,44000,unemployed,small city
female,non-single,28,high school,41000,official duties,small city
male,single,29,unknown,28000,unemployed,small city
male,single,30,unknown,60000,management,big city
male,single,25,unknown,31000,official duties,big city
male,single,31,unknown,39000,official duties,small city
male,single,57,university,45000,official duties,mid city
male,single,26,unknown,19000,unemployed,small city
male,single,52,high school,68000,management,big city
female,non-single,31,high school,61000,official duties,mid city
female,non-single,23,high school,51000,management,mid city
female,non-single,23,high school,38000,unemployed,small city
male,non-single,27,high school,36000,official duties,big city
male,single,50,high school,41000,official duties,mid city
male,single,61,university,55000,management,mid city
male,single,25,unknown,76000,official duties,big city
female,non-single,26,high school,39000,official duties,mid city
male,single,48,high school,49000,official duties,mid city
female,non-single,29,high school,37000,official duties,small city
male,non-single,22,high school,47000,official duties,small city
male,single,37,high school,36000,official duties,big city
female,non-single,25,high school,37000,official duties,big city
female,non-single,30,high school,56000,official duties,mid city
male,single,46,high school,25000,unemployed,small city
male,single,51,high school,47000,management,big city
female,non-single,41,university,45000,unemployed,small city
male,single,40,high school,47000,management,big city
male,single,66,university,52000,management,big city
male,single,34,high school,42000,official duties,mid city
male,single,51,high school,52000,official duties,big city
male,single,39,high school,51000,unemployed,small city
male,non-single,22,high school,42000,official duties,mid city
female,non-single,44,university,53000,official duties,big city
